,工况1-1,工况1-2,工况1-3,工况1-4,工况1-5,工况1-6,工况2-1,工况2-2,工况2-3,工况2-4,工况2-5,工况2-6,工况3-1,工况3-2,工况3-3,工况3-4,工况3-5,工况3-6
226,113.95,135.58,146.69,204.31,261.88,318.99,137.35,158.64,169.67,226.21,284.62,341.71,184.21,204.95,215.81,271.99,330.24,387.25
227,113.16,134.08,144.85,200.81,256.75,312.13,136.55,157.14,167.82,222.75,279.47,334.83,183.4,203.41,213.93,268.49,325.05,380.33
228,112.34,132.55,142.97,197.25,251.53,305.17,135.72,155.58,165.92,219.21,274.22,327.84,182.54,201.82,211.98,264.9,319.75,373.29
229,111.5,130.97,141.03,193.6,246.19,298.07,134.87,153.99,163.96,215.59,268.86,320.71,181.65,200.19,209.99,261.23,314.34,366.1
230,110.66,129.38,139.07,189.9,240.78,290.86,134.01,152.37,161.98,211.91,263.42,313.48,180.77,198.54,207.97,257.5,308.85,358.81
231,109.82,127.79,137.12,186.18,235.33,283.62,133.16,150.77,160.01,208.22,257.96,306.21,179.9,196.9,205.96,253.77,303.34,351.5
232,108.99,126.21,135.17,182.48,229.9,276.4,132.32,149.18,158.05,204.54,252.5,298.97,179.04,195.28,203.97,250.05,297.85,344.21
233,108.17,124.65,133.25,178.79,224.5,269.22,131.5,147.6,156.11,200.89,247.08,291.77,178.19,193.68,202.01,246.37,292.39,336.97
234,107.37,123.11,131.35,175.15,219.14,262.11,130.68,146.05,154.2,197.27,241.71,284.64,177.36,192.11,200.07,242.71,286.98,329.79
235,106.58,121.59,129.47,171.53,213.84,255.08,129.88,144.52,152.31,193.68,236.39,277.59,176.55,190.55,198.16,239.09,281.63,322.7
236,105.8,120.09,127.62,167.96,208.59,248.13,129.1,143.01,150.45,190.13,231.13,270.63,175.75,189.02,196.28,235.51,276.34,315.71
237,105.03,118.62,125.8,164.44,203.42,241.29,128.32,141.53,148.62,186.63,225.94,263.76,174.96,187.52,194.42,231.98,271.12,308.81
238,104.28,117.16,124,160.97,198.32,234.56,127.56,140.07,146.81,183.17,220.83,257.01,174.19,186.04,192.59,228.49,265.98,302.03
239,103.54,115.74,122.23,157.55,193.3,227.94,126.82,138.63,145.03,179.76,215.8,250.38,173.43,184.58,190.8,225.06,260.92,295.36
240,102.81,114.33,120.5,154.19,188.37,221.46,126.09,137.22,143.29,176.41,210.86,243.88,172.69,183.15,189.04,221.69,255.96,288.83
241,102.1,112.96,118.8,150.89,183.54,215.11,125.37,135.84,141.58,173.12,206.01,237.51,171.96,181.76,187.31,218.38,251.09,282.43
242,101.41,111.61,117.13,147.66,178.8,208.91,124.67,134.49,139.91,169.9,201.26,231.29,171.25,180.39,185.62,215.14,246.32,276.19
243,100.73,110.3,115.51,144.51,174.18,202.86,123.99,133.16,138.28,166.75,196.62,225.23,170.56,179.05,183.97,211.97,241.66,270.09
244,100.07,109.02,113.92,141.43,169.67,196.98,123.33,131.88,136.68,163.68,192.1,219.33,169.88,177.75,182.36,208.89,237.11,264.16
245,99.427,107.77,112.37,138.43,165.28,191.26,122.68,130.62,135.13,160.69,187.7,213.59,169.23,176.48,180.8,205.88,232.69,258.4
246,98.803,106.56,110.87,135.52,161.02,185.72,122.05,129.4,133.62,157.79,183.42,208.03,168.59,175.25,179.28,202.96,228.39,252.81
247,98.198,105.38,109.42,132.69,156.89,180.36,121.44,128.22,132.16,154.97,179.28,202.65,167.98,174.06,177.8,200.13,224.22,247.4
248,97.613,104.25,108.01,129.96,152.9,175.19,120.85,127.08,130.75,152.25,175.27,197.46,167.38,172.9,176.37,197.39,220.2,242.18
249,97.048,103.15,106.65,127.32,149.05,170.21,120.29,125.98,129.38,149.62,171.41,192.46,166.81,171.79,175,194.75,216.31,237.15
250,96.505,102.09,105.34,124.78,145.35,165.43,119.74,124.91,128.07,147.1,167.69,187.65,166.26,170.71,173.67,192.21,212.57,232.32
251,95.984,101.08,104.09,122.35,141.8,160.85,119.22,123.9,126.81,144.67,164.13,183.05,165.73,169.68,172.4,189.77,208.99,227.69
252,95.486,100.11,102.89,120.02,138.41,156.48,118.72,122.92,125.6,142.35,160.72,178.66,165.22,168.7,171.18,187.43,205.56,223.26
253,95.01,99.183,101.74,117.8,135.17,152.32,118.24,121.99,124.45,140.14,157.47,174.48,164.74,167.76,170.02,185.2,202.29,219.05
254,94.559,98.305,100.65,115.69,132.11,148.38,117.78,121.11,123.36,138.04,154.39,170.51,164.28,166.87,168.92,183.09,199.19,215.06
255,94.131,97.473,99.624,113.69,129.21,144.67,117.35,120.27,122.32,136.05,151.48,166.77,163.84,166.02,167.87,181.09,196.25,211.28
256,93.729,96.69,98.655,111.81,126.49,141.17,116.95,119.48,121.35,134.18,148.74,163.25,163.44,165.23,166.89,179.2,193.49,207.73
257,93.352,95.956,97.747,110.05,123.94,137.91,116.57,118.75,120.44,132.42,146.17,159.96,163.05,164.48,165.97,177.44,190.9,204.41
258,93.001,95.272,96.901,108.42,121.56,134.87,116.22,118.06,119.59,130.79,143.78,156.9,162.7,163.79,165.11,175.79,188.5,201.33
259,92.676,94.64,96.119,106.9,119.37,132.07,115.89,117.42,118.8,129.28,141.57,154.07,162.37,163.15,164.32,174.27,186.27,198.47
260,92.377,94.06,95.401,105.51,117.37,129.51,115.59,116.84,118.08,127.9,139.55,151.48,162.06,162.56,163.59,172.88,184.23,195.86
261,92.106,93.533,94.749,104.25,115.54,127.19,115.32,116.31,117.42,126.64,137.71,149.14,161.79,162.02,162.93,171.61,182.37,193.48
262,91.863,93.059,94.162,103.12,113.91,125.1,115.08,115.83,116.83,125.51,136.06,147.03,161.54,161.54,162.33,170.47,180.71,191.35
263,91.647,92.639,93.643,102.12,112.46,123.26,114.86,115.41,116.31,124.51,134.6,145.17,161.32,161.11,161.81,169.46,179.24,189.47
264,91.459,92.274,93.192,101.25,111.2,121.66,114.67,115.04,115.86,123.64,133.34,143.55,161.13,160.74,161.35,168.58,177.95,187.83
265,91.3,91.964,92.809,100.51,110.14,120.31,114.51,114.73,115.47,122.9,132.26,142.18,160.97,160.43,160.96,167.84,176.87,186.44
266,91.169,91.71,92.495,99.9,109.26,119.2,114.38,114.48,115.16,122.3,131.38,141.05,160.84,160.17,160.64,167.23,175.97,185.3
